NU_ANO_SAEB|CO_UF|CO_MUNICIPIO|IN_CAPITAL|IN_PREENCHIMENTO|CO_TRATAMENTO|DT_PREENCHIMENTO|MG1Q01|MG1Q02|MG1Q03|MG1Q04|MG1Q05|MG1Q06|MG1Q07|MG1Q08_A|MG1Q08_B|MG1Q08_C|MG1Q08_D|MG1Q08_E|MG1Q08_F|MG1Q08_G|MG1Q09|MG1Q10|MG1Q11|MG1Q12|MG1Q13|MG2Q01|MG2Q02|MG2Q03|MG2Q04|MG2Q05|MG2Q06|MG2Q07|MG2Q08|MG2Q09|MG2Q10|MG2Q11|MG2Q12|MG2Q13|MG2Q14|MG2Q15|MG2Q16|MG2Q17|MG2Q18|MG2Q19|MG2Q20|MG2Q21|MG2Q22|MG2Q23|MG2Q24|MG2Q25|MG2Q26|MG2Q27|MG2Q28|MG2Q29|MG2Q30|MG2Q31|MG2Q32|MG2Q33|MG2Q34|MG2Q35_A|MG2Q35_B|MG2Q35_C|MG2Q35_D|MG2Q35_E|MG2Q35_F|MG2Q35_G|MG2Q35_H|MG2Q35_I|MG2Q35_J|MG2Q36|MG2Q37|MG2Q38|MG2Q39|MG2Q40|MG2Q41|MG2Q42|MG3Q01|MG3Q02|MG3Q03|MG3Q04|MG3Q05|MG3Q06|MG3Q07|MG3Q08|MG3Q09|MG3Q10|MG3Q11|MG3Q12|MG3Q13|MG3Q14|MG3Q15|MG3Q16|MG3Q17|MG3Q18|MG3Q19|MG3Q20|MG3Q21|MG4Q01|MG4Q02|MG4Q03|MG4Q04|MG4Q05|MG4Q06|MG4Q07|MG4Q08|MG4Q09|MG4Q10|MG5Q01|MG5Q02_A|MG5Q02_B|MG5Q02_C|MG5Q02_D|MG5Q02_E|MG5Q02_F|MG5Q02_G|MG5Q03|MG5Q04_A|MG5Q04_B|MG5Q04_C|MG5Q05_A|MG5Q05_B|MG5Q05_C|MG5Q05_D|MG5Q05_E|MG5Q05_F|MG5Q05_G|MG5Q06|MG5Q07_A|MG5Q07_B|MG5Q07_C|MG5Q07_D|MG5Q07_E|MG5Q07_F|MG5Q07_G|MG5Q07_H|MG5Q07_I|MG5Q08|MG6Q01|MG6Q02|MG6Q03|MG6Q04|MG6Q05_A|MG6Q05_B|MG6Q05_C|MG6Q05_D|MG6Q06|MG6Q07|MG6Q08_A|MG6Q08_B|MG6Q08_C|MG6Q08_D|MG6Q08_E|MG6Q08_F|MG6Q08_G|MG6Q08_H|MG6Q09_A|MG6Q10|MG7Q01
2021|11|1100015|0|1|0|14OCT2021|A|60|A|B|D|A|B|||||||||||A|A|A|A|A|A|A|48|A|A|A|B|A|A|A|Secretaria de Estado da Educacao.|B|B|B|B|B|A|A|Lei mun. 1.474 de 31/10/2018 que institui a questão democrática nas escolas da rede Municipal de ensino.||||||||||||||||||||||||||||||A|2|A|A|A|A|B|B|A|A|B|B||||||||||A|B|B|4|||||||A|A|B|C|||||A||B|C|||||E||G|B|||||||||||B|B|B|B|A|B|C||A|A||||||||||B|Faltaram algumas opções, por exemplo: PCCR em fase de elaboração e aprovação.
2021|11|1100023|0|1|0|26OCT2021|B|56|C|B|D|A|A|A|B|C|D|||G||17|1|A|B|A|A|A|A|A|89|A|A|A|A|A|A|A|Ministério Público, Tribunal de Contas, Polícia Militar, Universidades Pública e Privada.|B|B|B|B|B|A|B||A|A|A|A|A|A|A|A|A|A|B|||B||D|||||I|||A|A|A|A|A|B|A|3|A|A|A|A|A|A|A|A|A|A||||||||||A|A|B|14|A|A|A|A|A|A|A|A|B|C||E|||A||B|C|||||E|||A|||||||||||C|A|A|A|A|B|C||A|A|A||C|||||||B|Questionário Excelente.
2021|11|1100031|0|1|0|19NOV2021|B|52|C|B|D|A|A|A|||D|||||30|1|A|B|A|A|B|A|A|4|A|A|A|A|A|||||||||||||||||||||||||||||||||||||||||A|1|A|B|A|A|B|A|B||B|B||||||||||A|B|A||A|A|A|A|A|A|A|A|B||D||||A||B|C||||D||||A|||||||||||B|A|A|B|A||C||A|A|A|B|C|||||||C|nada a acrescentar
2021|11|1100049|0|1|0|16NOV2021|A|48|C|B|D|A|A|A|||D|||||20|1|A|B|A|A|B|A|A|41|A|A|A|A|A|A|A|Secretaria de Estado da Educação.|A|A|A|A|A|B|B|||A|A|A|A|A|A|A|A|B|||A||C|||F||||||A|A|A|A|A|A|A|116|A|A|A|A|B|A|A|A|A|A|B|A|A|A|A|A|A|A|A||||67|B|B|A|A|A|A|A|A|B|C|D|E|||B|||||||||||A|A||C|D||F|G|H|||A|A|A|A|A|B|C||A|A||B|C|D|E|||||B|ótimo.
2021|11|1100056|0|1|0|04NOV2021|B|57|A|B|D|A|A|A|B|C|D|E||||30|5|A|B|A|A|B|A|A|11||||||||||||||||||||||||||||||||||||||||||||||A|0||||||||||||||||||||A|B|A|0|||||||A|A|B||||||A||B|||||||F||A|A|B|C||||||||B|A|A|B|||C||A|A|A||C|||||||B|
2021|11|1100064|0|1|0|21DEC2021|B|48|C|B|D|A|A|||C||E||||30|2|A|B|A|A|B|A|A|20|A|A|A|A|A|A|A|Secretaria de Esporte, Conselho do FUNDEB e Conselho da alimentação Escolar|A|B|B|B|A|B|B||B|B|A|B|A|A|A|B|A|A|A|Educação Empreendedora e Financeira, Formação com professores da Educação Infantil, Construção do Currículo alinhados a BNCC.||||D||F|||I|||A|A|A|A|A|B|A|1|A|A|A|A|A|A|A|A|B|B||||||||||A|A|B|2|A|A|A|A|A||A||B||D|E|||A||B|C|||||E|||A|A|B||||F|G||||B|A|A|B|||C||B|A|A||C|||||||B|
2021|11|1100072|0|1|0|04NOV2021||66|A|B|D|A|A|A|||D|||||30|7|A|B|B|A|A|B|B||A|A|A|A|A|A|B||A|A|A|A|A|B|B||C||A|B|A|A|A|A|A|A||||B||D||||H||||B|A|A|A|A|A|A||A|A|A|A|A|A|A|A|B|B||||||||||A|B|||A|A|A|A|A|A|A|A|B|C|||||B|||||||||||A|A|B|C|D|E|F|G|H|||C|A|A|C|||C||A|A|A||C|||||||B|Valorização Profissional, Plano de Saúde , Incentivo ao Magistério, Transporte Escolar , etc.
2021|11|1100080|0|1|0|11OCT2021|A|60|A|B|D|A|A|A||C|||F|||30|15|A|B|A|A|A|A|A||A|A|A|A|A|A|A|SEBRAE.|A|A|A|A|A|B|B||A|A|A|B|A|A|A|A|A|A|B|||B||D|||||I|||A|A|A|A|A|A|A|50|A|A|A|A|B|A|A|A|B|A||||||||||A|A|A|84|A|A|A|A|A||A|A|B|C|D|E|||A||B|C||||D||||A|||||||||||A|A|A|A|A||C||A|A|A|B|C|D||||||B|
2021|11|1100098|0|1|0|26NOV2021|B|50|C|B|D|A|A|A||||E||||25|1|A|B|A|A|B|B|B|3|A|A|A|B|A|A|B||A|A|A|B|A|B|B|||A|A|B|A|A|A|A|A|A||||B|C|D||||||||B|A|A|A|A|B|A|0|A|A|B|A|B|A|A|A|B|B||||||||||A|B|B|0|A|A|A|A|A|A|A|A|B|C|||||B|||||||||||A|||||||||I|É aplicada a Avaliação Diagnostica por bimestre , e encaminhado gráfico para as secretarias.|C|C|C|C|A|B|C|D|A|A||||||||||B|1-Premiar as Escolas com melhores IDEBs;.2-Desvincular a folha de pagamento dos professores , do indice geral da folha das prefeituras;.3- Padronizar a Cargo horaria dos professores ,pois uma grande maioria precisam trabalhar 40 horas para receber um melhor salario;.4- Valorizar de forma significativa o professor;
2021|11|1100106|0|1|0|12NOV2021|B|55|A|B|D|A|A|A|||D|||||30||B|B|A|A|A|A|A|47|A|A|A|B|A|A|B||A|A|B|B|B|B|B||A|A|A|A|A|A|A|A|A|A||||B|||||G||I|||A|A|A|A|A|A|A|1|A|A|A|A|B||||A|A|B|B||||||||A|B|B|1|A|A|A|A|A||A||B||||||B|||||||||||A|A|B||||F|G|H|||C|A|A|A|A|B|C|D|A|B|A|B|C|||||||B|Sem alteração
